mesh_id,mesh_term,Cardiology,Dermatology,Endocrinology,GI Hepatology,Immuno Rheumatology,Infectious Diseases,Nephrology,Neurology,Psych General,Oncology,Otolaryngology,Pulmonary Medicine,Reproductive Medicine,Psych Specific,Hepatology Specific
G17,Mathematical Concepts,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
G17.035,Algorithms,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
G17.162,Decision Theory,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
G17.162.500,Decision Trees,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
G17.290,Fractals,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
G17.485,Neural Networks (Computer),N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
G17.582,Nomograms,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
G17.680,Probability,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
G17.680.500,Odds Ratio,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
G17.680.750,Risk,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
G17.680.875,Uncertainty,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
G17.800,Sensitivity and Specificity,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
G17.820,Statistical Distributions,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
G17.820.250,Binomial Distribution,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
G17.820.300,Chi-Square Distribution,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
G17.820.500,Normal Distribution,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
G17.820.750,Poisson Distribution,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
G17.830,Stochastic Processes,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
G17.830.500,Markov Chains,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
C01.252.400.155.644,Relapsing Fever,N,Y,N,N,N,Y,N,N,N,N,N,N,N,N,N
C01.252.400.167,Brucellosis,N,Y,N,N,N,Y,N,N,N,N,N,N,N,N,N
C01.252.400.177,Campylobacter Infections,N,Y,N,N,N,Y,N,N,N,N,N,N,N,N,N
C01.252.400.200,Cat-Scratch Disease,N,Y,N,N,N,Y,N,N,N,N,N,N,N,N,N
C01.252.400.210.210.800,Trachoma,N,Y,N,N,N,Y,N,N,N,N,N,N,N,N,N
C01.252.400.210.250,Chlamydophila Infections,N,Y,N,N,N,Y,N,N,N,N,N,N,N,N,N
C01.252.400.310.330,Escherichia coli Infections,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N
C01.252.400.310.503,Klebsiella Infections,N,Y,N,N,N,Y,N,N,N,N,N,N,N,N,N
C01.252.400.310.821.438,Paratyphoid Fever,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N
C01.252.400.310.821.606,Salmonella Food Poisoning,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N
C01.252.400.310.980.780,Yersinia pseudotuberculosis Infections,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N
C01.252.400.388.350,Fusobacterium Infections,N,Y,N,N,N,Y,N,N,N,N,N,N,N,N,N
C01.252.400.500,Legionellosis,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N
C01.252.400.500.501,Legionnaires' Disease,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N
C01.252.400.560.022,Acinetobacter Infections,N,Y,N,N,N,Y,N,N,N,N,N,N,N,N,N
C01.252.400.610.610.760,"Pneumonia, Mycoplasma",N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N
C01.252.400.625.391,Gonorrhea,N,Y,N,N,N,Y,N,N,N,N,N,N,Y,N,N
C01.252.400.625.391.658,Ophthalmia Neonatorum,N,N,N,N,N,Y,N,N,N,N,N,N,Y,N,N
C01.252.400.700.030,Actinobacillus Infections,N,Y,N,N,N,Y,N,N,N,N,N,N,N,N,N
C01.252.400.700.433.615,"Meningitis, Haemophilus",N,N,N,N,N,Y,N,Y,N,N,N,N,N,N,N
C01.252.400.719,Piscirickettsiaceae Infections,N,Y,N,N,N,Y,N,Y,N,N,N,N,N,N,N
C01.252.400.739,Pseudomonas Infections,N,Y,N,N,N,Y,N,N,N,N,N,N,N,N,N
C01.252.400.780.790,Rickettsia Infections,N,Y,N,N,N,Y,N,N,N,N,N,N,N,N,N
C01.252.400.780.790.800,"Typhus, Endemic Flea-Borne",N,Y,N,N,N,Y,N,N,N,N,N,N,N,N,N
C01.252.400.825.050,Anaplasmosis,N,Y,N,N,N,Y,N,N,N,N,N,N,N,N,N
C01.252.400.825.125,Boutonneuse Fever,N,Y,N,N,N,Y,N,N,N,N,N,N,N,N,N
C01.252.400.825.480.700,Lyme Neuroborreliosis,N,N,N,N,N,Y,N,Y,N,N,N,N,N,N,N
C01.252.400.825.900,Tularemia,N,Y,N,N,N,Y,N,N,N,N,N,N,N,N,N
C01.252.400.840,Treponemal Infections,N,Y,N,N,N,Y,N,N,N,N,N,N,N,N,N
C01.252.400.840.744.456.778,Tabes Dorsalis,N,N,N,N,N,Y,N,Y,N,N,N,N,N,N,N
C01.252.400.840.744.657,"Syphilis, Cardiovascular",Y,N,N,N,N,Y,N,N,N,N,N,N,N,N,N
C01.252.400.959,Vibrio Infections,N,Y,N,N,N,Y,N,N,N,N,N,N,N,N,N
C01.252.400.959.347,Cholera,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N
C01.252.410.040.137.262,"Actinomycosis, Cervicofacial",N,Y,N,N,N,Y,N,N,N,N,N,N,N,N,N
C01.252.410.040.692,Nocardia Infections,N,Y,N,N,N,Y,N,N,N,N,N,N,N,N,N
C01.252.410.110,Bifidobacteriales Infections,N,Y,N,N,N,Y,N,N,N,N,N,N,N,N,N
C01.252.410.222,Clostridium Infections,N,Y,N,N,N,Y,N,N,N,N,N,N,N,N,N
C01.252.410.222.864,Tetanus,N,N,N,N,N,Y,N,Y,N,N,N,N,N,N,N
C01.252.410.334,Erysipelothrix Infections,N,Y,N,N,N,Y,N,N,N,N,N,N,N,N,N
C01.252.410.868,Staphylococcal Infections,N,Y,N,N,N,Y,N,N,N,N,N,N,N,N,N
C01.252.410.868.675,"Pneumonia, Staphylococcal",N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N
C01.252.410.868.820.504,Impetigo,N,Y,N,N,N,Y,N,N,N,N,N,N,N,N,N
C01.252.410.868.820.770,Staphylococcal Scalded Skin Syndrome,N,Y,N,N,N,Y,N,N,N,N,N,N,N,N,N
C01.252.410.890.670.595,"Meningitis, Pneumococcal",N,N,N,N,N,Y,N,Y,N,N,N,N,N,N,N
C01.252.847.193.569.200,Erythema Chronicum Migrans,N,Y,N,N,N,Y,N,N,N,N,N,N,N,N,N
C01.252.847.511,Leptospirosis,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N
C01.252.847.511.739,Weil Disease,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N
C01.252.847.840.744.456,Neurosyphilis,N,N,N,N,N,Y,N,Y,N,N,N,N,N,N,N
C01.252.847.840.744.456.778,Tabes Dorsalis,N,N,N,N,N,Y,N,Y,N,N,N,N,N,N,N
C01.252.847.840.892,Yaws,N,Y,N,N,N,Y,N,N,N,N,N,N,N,N,N
C04.588.274.476.411.307.089.393,Gardner Syndrome,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N
C04.588.274.476.411.307.180.800,Sigmoid Neoplasms,N,N,N,Y,N,N,N,N,N,Y,N,N,N,N,N
C04.588.274.476.411.307.790.040,Anus Neoplasms,N,N,N,Y,N,N,N,N,N,Y,N,N,N,N,N
C04.588.274.476.411.523,Jejunal Neoplasms,N,N,N,Y,N,N,N,N,N,Y,N,N,N,N,N
C04.588.274.476.767,Stomach Neoplasms,N,N,N,Y,N,N,N,N,N,Y,N,N,N,N,N
C04.588.274.761,Pancreatic Neoplasms,N,N,Y,Y,N,N,N,N,N,Y,N,N,N,N,N
C04.588.274.761.249,"Adenoma, Islet Cell",N,N,Y,Y,N,N,N,N,N,N,N,N,N,N,N
C04.588.274.761.500.500,Somatostatinoma,N,N,Y,N,N,N,N,N,N,Y,N,N,N,N,N
C04.588.274.780,Peritoneal Neoplasms,N,N,N,N,N,N,N,N,N,Y,N,N,Y,N,N
C04.588.322,Endocrine Gland Neoplasms,N,N,Y,N,N,N,N,N,N,Y,N,N,N,N,N
C04.588.443.591.545,"Leukoplakia, Oral",N,Y,N,N,N,N,N,N,N,Y,N,N,N,N,N
C04.588.443.591.545.500,"Leukoplakia, Hairy",N,Y,N,N,N,Y,N,N,N,Y,N,N,N,N,N
C04.588.443.591.824.882,Sublingual Gland Neoplasms,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N
C04.588.443.665.312,Ear Neoplasms,N,Y,N,N,N,N,N,N,N,Y,Y,N,N,N,N
C04.588.443.665.481,Laryngeal Neoplasms,N,N,N,N,N,N,N,N,N,Y,Y,N,N,N,N
C04.588.443.665.710.485,Hypopharyngeal Neoplasms,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N
C04.588.443.680,Parathyroid Neoplasms,N,N,Y,N,N,N,N,N,N,Y,N,N,N,N,N
C04.588.443.915,Thyroid Neoplasms,N,N,Y,N,N,N,N,N,N,Y,Y,N,N,N,N
C04.588.448.200,Bone Marrow Neoplasms,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N
C04.588.614,Nervous System Neoplasms,N,N,N,N,N,N,N,Y,N,Y,N,N,N,N,N
C04.588.614.250.195.205,Cerebral Ventricle Neoplasms,N,N,N,N,N,N,N,Y,N,Y,N,N,N,N,N
C04.588.614.250.195.411.100,Brain Stem Neoplasms,N,N,N,N,N,N,N,Y,N,Y,N,N,N,N,N
C04.588.614.250.195.885,Supratentorial Neoplasms,N,N,N,N,N,N,N,Y,N,Y,N,N,N,N,N
C04.588.614.250.387,Central Nervous System Cysts,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N
C04.588.614.250.580,Meningeal Neoplasms,N,N,N,N,N,N,N,Y,N,Y,N,N,N,N,N
C04.588.614.250.803.342,Epidural Neoplasms,N,N,N,N,N,N,N,Y,N,Y,N,N,N,N,N
C04.445.435,"Hamartoma Syndrome, Multiple",N,Y,N,N,N,N,N,N,N,Y,N,N,N,N,N
C04.445.435.500,Proteus Syndrome,N,Y,Y,N,N,N,N,N,N,N,N,N,N,N,N
C04.557.227.190,"Dendritic Cell Sarcoma, Follicular",N,Y,N,N,N,N,N,N,N,Y,N,N,N,N,N
C04.557.337,Leukemia,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N
C04.557.337.100,Enzootic Bovine Leukosis,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N
C04.557.337.372.602,Leukemia L5178,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
C04.557.337.372.782,Leukemia P388,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
C04.557.337.428.080.125,"Leukemia, Lymphocytic, Chronic, B-Cell",N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N
C04.557.337.428.565.745,"Leukemia, Prolymphocytic, B-Cell",N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N
C04.557.337.428.580.100,"Leukemia-Lymphoma, Adult T-Cell",N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N
C04.557.337.428.600.620,Precursor T-Cell Lymphoblastic Leukemia-Lymphoma,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N
C04.557.337.539.250.400,"Leukemia, Myeloid, Chronic-Phase",N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N
C04.557.337.539.525,"Leukemia, Myelomonocytic, Juvenile",N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N
C04.557.337.539.550.325,"Leukemia, Erythroblastic, Acute",N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N
C04.557.435.585,Myoepithelioma,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N
C04.557.435.595,Wilms Tumor,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N
C04.557.435.675,Pulmonary Blastoma,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N
C04.557.435.710,Rhabdoid Tumor,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N
C04.557.450.550.100,Angiolipoma,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N
C04.557.450.550.125,Angiomyolipoma,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N
C04.557.450.550.710,Myelolipoma,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N
C04.557.450.565,"Neoplasms, Connective Tissue",N,Y,Y,N,N,N,N,N,N,Y,N,N,N,N,N
C04.557.450.565.280.280,"Chondrosarcoma, Mesenchymal",N,N,Y,N,N,N,N,N,N,Y,N,N,N,N,N
C04.557.450.565.465.124,Mast-Cell Sarcoma,N,Y,N,N,N,N,N,N,N,Y,N,N,N,N,N
C04.557.450.565.465.249,Mastocytoma,N,Y,N,N,N,N,N,N,N,Y,N,N,N,N,N
C04.557.450.565.465.750,"Mastocytosis, Systemic",N,Y,Y,N,Y,N,N,N,N,Y,N,N,N,N,N
C04.557.450.565.550.312,Carney Complex,N,Y,Y,N,N,N,N,N,N,Y,N,N,N,N,N
C04.557.450.565.550.625,Neurothekeoma,N,Y,N,N,N,N,N,Y,N,N,N,N,N,N,N
C04.557.450.565.575.600,Osteoblastoma,N,N,Y,N,N,N,N,N,N,Y,N,N,N,N,N
C04.557.450.565.575.610,Osteochondroma,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N
C04.557.450.565.575.650,Osteosarcoma,N,N,Y,N,N,N,N,N,N,Y,N,N,N,N,N
C04.557.450.565.575.650.655,"Osteosarcoma, Juxtacortical",N,N,Y,N,N,N,N,N,N,Y,N,N,N,N,N
C04.557.450.565.590.340.400,"Fibromatosis, Abdominal",N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
C04.557.450.565.590.350.590,Neurofibrosarcoma,N,Y,N,N,N,N,N,Y,N,Y,N,N,N,N,N
C04.557.450.565.590.425,Histiocytoma,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N
C04.557.450.565.590.595.050,Adenofibroma,N,Y,N,N,N,N,N,N,N,N,N,N,Y,N,N
C04.557.450.565.590.595.150,Brenner Tumor,N,N,Y,N,N,N,N,N,N,Y,N,N,Y,N,N
C04.557.450.565.835,"Sarcoma, Synovial",N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N
C04.557.450.590,"Neoplasms, Muscle Tissue",N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N
C04.557.450.590.450.465,Leiomyomatosis,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N
C04.557.450.590.455,Leiomyosarcoma,N,N,N,N,N,N,N,N,N,Y,N,N,Y,N,N
C04.557.450.590.550.660.665,"Rhabdomyosarcoma, Alveolar",N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N
C04.557.450.692,Perivascular Epithelioid Cell Neoplasms,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
C04.557.450.795.135,Adenosarcoma,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N
C04.557.450.795.290,Carcinosarcoma,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N
C04.557.450.795.350,Fibrosarcoma,N,N,Y,N,N,N,N,N,N,Y,N,N,N,N,N
C04.557.450.795.350.320,Dermatofibrosarcoma,N,Y,N,N,N,N,N,N,N,Y,N,N,N,N,N
C04.557.450.795.465,Liposarcoma,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N
C04.557.450.795.465.425,"Liposarcoma, Myxoid",N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N
C04.557.465.625.600.590.650.550.150,"Esthesioneuroblastoma, Olfactory",N,N,N,N,N,N,N,Y,N,Y,N,N,N,N,N
C04.557.465.625.650,Neuroendocrine Tumors,N,N,Y,N,N,N,N,Y,N,Y,N,N,N,N,N
C04.557.465.625.650.025,"Adenoma, Acidophil",N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N
C04.557.465.625.650.200.500,Malignant Carcinoid Syndrome,N,N,Y,N,N,N,N,N,N,Y,N,N,N,N,N
C04.557.465.625.650.240.325,"Carcinoma, Merkel Cell",N,N,Y,N,N,N,N,N,N,Y,N,N,N,N,N
C04.557.465.625.650.510.385,Hutchinson's Melanotic Freckle,N,Y,Y,N,N,N,N,N,N,Y,N,N,N,N,N
C04.557.465.625.650.595.610,"Neuroma, Acoustic",N,N,Y,N,N,N,N,Y,N,Y,N,N,N,N,N
C04.557.465.625.650.700.705.220,Carotid Body Tumor,N,N,Y,N,N,N,N,N,N,Y,N,N,N,N,N
C04.557.465.900,Teratocarcinoma,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N
C04.557.465.910,Teratoma,N,N,N,N,N,N,N,N,N,Y,N,N,Y,N,N
C04.557.465.955.207,Choriocarcinoma,N,N,N,N,N,N,N,N,N,Y,N,N,Y,N,N
C04.557.465.955.207.750,"Choriocarcinoma, Non-gestational",N,N,N,N,N,N,N,N,N,Y,N,N,Y,N,N
C04.557.465.955.416.812.500,"Hydatidiform Mole, Invasive",N,N,Y,N,N,N,N,N,N,N,N,N,Y,N,N
C04.557.470.035.025,"Adenoma, Acidophil",N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N
C04.557.470.035.075,"Adenoma, Basophil",N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N
C04.557.470.035.120,"Adenoma, Liver Cell",N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
C04.557.470.035.140,"Adenoma, Oxyphilic",N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
C04.557.470.035.175.375,Hidrocystoma,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N
C04.557.470.035.175.800,Syringoma,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N
C04.557.470.035.215.100,Adenomatous Polyposis Coli,N,N,N,Y,N,N,N,N,N,Y,N,N,N,N,N
C04.557.470.035.320,Cystadenoma,N,Y,N,N,N,N,N,N,N,Y,N,N,Y,N,N
C04.557.470.035.320.225,"Cystadenoma, Mucinous",N,Y,N,N,N,N,N,N,N,Y,N,N,Y,N,N
C04.557.470.035.510.515,"Mesothelioma, Cystic",N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N
C04.557.470.035.625,Prolactinoma,N,N,Y,N,N,N,N,Y,N,N,N,N,Y,N,N
C04.557.470.200.025.060,"Adenocarcinoma, Follicular",N,N,N,N,N,N,N,N,N,Y,N,N,Y,N,N
C04.557.470.200.025.085.225,"Carcinoma, Papillary, Follicular",N,N,Y,N,N,N,N,N,N,Y,N,N,Y,N,N
C04.557.470.200.025.152,Adrenocortical Carcinoma,N,N,Y,N,N,N,N,N,N,Y,N,N,N,N,N
C04.557.470.200.025.215,"Carcinoma, Acinar Cell",N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N
C04.557.470.200.025.220,"Carcinoma, Adenoid Cystic",N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N
C04.557.470.550.175.125,Acrospiroma,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N
C04.557.470.550.175.125.600,Poroma,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N
C04.557.470.565.165,"Carcinoma, Basal Cell",N,Y,N,N,N,N,N,N,N,Y,N,N,N,N,N
C04.557.470.565.625,Pilomatrixoma,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N
C04.557.470.590,"Neoplasms, Cystic, Mucinous, and Serous",N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N
C04.557.470.590.480.225,"Cystadenocarcinoma, Mucinous",N,N,N,N,N,N,N,N,N,Y,N,N,Y,N,N
C04.557.470.590.485.225,"Cystadenoma, Mucinous",N,N,N,N,N,N,N,N,N,Y,N,N,Y,N,N
C04.557.470.590.782,Pseudomyxoma Peritonei,N,N,N,N,N,N,N,N,N,Y,N,N,Y,N,N
C04.557.470.615,"Neoplasms, Ductal, Lobular, and Medullary",N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N
C04.557.470.615.305,"Carcinoma, Lobular",N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N
C04.557.470.615.315,"Carcinoma, Medullary",N,N,Y,N,N,N,N,N,N,Y,N,N,N,N,N
C04.557.470.625.350,Fibroadenoma,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N
C04.557.470.660,"Neoplasms, Mesothelial",N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N
C04.557.470.670,"Neoplasms, Neuroepithelial",N,N,N,N,N,N,N,Y,N,Y,N,N,N,N,N
C04.557.470.670.380.080.335,Glioblastoma,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N
C04.557.470.670.380.080.667,Optic Nerve Glioma,N,N,N,N,N,N,N,Y,N,Y,N,N,N,N,N
C04.557.470.670.380.515,Medulloblastoma,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N
C04.557.470.670.580,Neurocytoma,N,N,N,N,N,N,N,Y,N,Y,N,N,N,N,N
C04.557.470.670.590,"Neuroectodermal Tumors, Primitive",N,Y,Y,N,N,N,N,Y,N,Y,N,N,N,N,N
C04.557.470.670.657,Pinealoma,N,N,N,N,N,N,N,Y,N,Y,N,N,N,N,N
C04.557.470.670.725,Retinoblastoma,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N
C04.557.470.700.400,"Carcinoma, Squamous Cell",N,Y,N,N,N,N,N,N,N,Y,N,N,N,N,N
C04.557.470.700.600.610,"Papilloma, Inverted",N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N
C04.557.475,"Neoplasms, Gonadal Tissue",N,N,Y,N,N,N,N,N,N,Y,N,N,Y,N,N
C04.557.475.750.847,Sertoli-Leydig Cell Tumor,N,N,Y,N,N,N,N,N,N,Y,N,N,Y,N,N
C04.557.580,"Neoplasms, Nerve Tissue",N,Y,Y,N,N,N,N,N,N,Y,N,N,N,N,N
C04.557.580.520,Meningioma,N,N,N,N,N,N,N,Y,N,Y,N,N,N,N,N
C04.557.580.600.580.585,"Neurofibroma, Plexiform",N,Y,N,N,N,N,N,Y,N,Y,N,N,N,N,N
C04.557.580.600.580.795,Neurofibrosarcoma,N,Y,N,N,N,N,N,Y,N,Y,N,N,N,N,N
C04.557.580.600.590,Neurofibrosarcoma,N,Y,N,N,N,N,N,Y,N,Y,N,N,N,N,N
C04.557.580.600.625,Neurothekeoma,N,Y,N,N,N,N,N,Y,N,N,N,N,N,N,N
C04.557.595.500.500,"Leukemia, Plasma Cell",N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N
C04.557.645.100,Angiofibroma,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N
C04.557.645.115,Angiokeratoma,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N
C04.557.645.375.370,Hemangioendothelioma,N,Y,N,N,N,N,N,N,N,Y,N,N,N,N,N
C04.557.645.375.370.380,"Hemangioendothelioma, Epithelioid",N,Y,N,N,N,N,N,N,N,Y,N,N,N,N,N
C04.557.645.380,Hemangiopericytoma,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N
C04.557.645.390,Hemangiosarcoma,N,Y,N,N,N,N,N,N,N,Y,N,N,N,N,N
C04.557.665.510,Melanoma,N,Y,Y,N,N,N,N,N,N,Y,N,N,N,N,N
C04.557.665.510.385,Hutchinson's Melanotic Freckle,N,Y,Y,N,N,N,N,N,N,Y,N,N,N,N,N
C04.557.665.560.580,"Nevus, Halo",N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N
C04.557.665.560.590,"Nevus, Intradermal",N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N
C04.557.665.560.615.625,"Nevus, Spindle Cell",N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N
C04.557.695,Odontogenic Tumors,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N
C04.557.695.065,Ameloblastoma,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N
C04.588,Neoplasms by Site,N,Y,N,N,N,N,N,N,N,Y,N,N,N,N,N
C04.588.033,Abdominal Neoplasms,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N
C04.588.083,Anal Gland Neoplasms,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N
C04.588.149,Bone Neoplasms,N,N,Y,N,N,N,N,N,N,Y,N,N,N,N,N
C04.588.149.721.450,Jaw Neoplasms,N,N,Y,N,N,N,N,N,N,Y,Y,N,N,N,N
C04.588.149.721.450.583,Mandibular Neoplasms,N,N,Y,N,N,N,N,N,N,Y,Y,N,N,N,N
C04.588.149.828,Spinal Neoplasms,N,N,Y,N,N,N,N,N,N,Y,N,N,N,N,N
C04.588.180,Breast Neoplasms,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N
C04.588.274,Digestive System Neoplasms,N,N,N,Y,N,N,N,N,N,Y,N,N,N,N,N
C04.588.274.120,Biliary Tract Neoplasms,N,N,N,Y,N,N,N,N,N,Y,N,N,N,N,M
C04.588.274.476.205,Esophageal Neoplasms,N,N,N,Y,N,N,N,N,N,Y,Y,N,N,N,N
